Decade,Year,Song,Artist,Genres,Popularity,Duration (min),Explicit,Polarity,Subjectivity,Total Words,Lexical Richness (%),Words per Minute
1990s,1996,Children,Robert Miles,"trance, eurodance",76,4.05,False,0.0,0.0,0,0.0,0.0
1990s,2000,It Wasn't Me,Shaggy,reggae,81,3.79,False,0.062,0.408,644,30.28,169.77
1990s,2025,Don't Look Back in Anger - Remastered,Oasis,"britpop, madchester",74,4.84,False,0.0,0.0,0,0.0,0.0
1990s,1997,Miami,Will Smith,,73,3.29,False,0.222,0.571,669,36.62,203.18
1990s,1996,Wannabe,Spice Girls,,81,2.88,False,0.157,0.369,574,20.38,199.05
1990s,1994,The Rhythm of the Night,Corona,eurodance,73,4.4,False,0.253,0.463,370,22.16,84.0
1990s,1999,Californication,Red Hot Chili Peppers,"funk rock, alternative rock, rock",85,5.5,False,0.109,0.544,296,50.0,53.86
1990s,2002,Missing - Todd Terry Remix / Radio Edit,Everything But The Girl,,60,3.92,False,0.0,0.0,0,0.0,0.0
1990s,1998,California Love - Original Version,2Pac,"old school hip hop, gangster rap, west coast hip hop, g-funk, hip hop",59,4.75,False,0.0,0.0,0,0.0,0.0
1990s,1992,Friday I'm In Love,The Cure,"new wave, post-punk, gothic rock, darkwave",79,3.59,False,0.178,0.424,263,36.88,73.34
1990s,2000,Girls & Boys,Blur,"britpop, madchester, alternative rock",70,4.32,False,0.236,0.546,338,22.78,78.18
1990s,2000,Butterfly,Crazy Town,"rap rock, nu metal",79,3.61,False,0.026,0.708,713,28.47,197.39
1990s,1995,Just A Girl,No Doubt,,74,3.49,False,0.065,0.513,296,38.85,84.89
1990s,1995,Lemon Tree,Fools Garden,,77,3.18,False,-0.066,0.341,327,33.33,102.71
1990s,1991,Black or White,Michael Jackson,,74,4.27,False,-0.018,0.386,449,36.08,105.23
1990s,1997,Song 2 - 2012 Remaster,Blur,"britpop, madchester, alternative rock",79,2.02,False,0.0,0.0,0,0.0,0.0
1990s,1993,Crazy,Aerosmith,"classic rock, rock",77,5.28,False,-0.186,0.763,326,38.34,61.74
1990s,1997,I'll Be Missing You (feat. Faith Evans & 112) - 2014 Remaster,Diddy,"hip hop, east coast hip hop",69,5.11,False,0.0,0.0,0,0.0,0.0
1990s,1997,Tubthumping,Chumbawamba,,72,4.65,False,-0.107,0.306,800,8.12,172.18
